Itération 357, nodeeco: 216
Itération 356, nodeeco: 237
Itération 355, nodeeco: 236
Itération 354, nodeeco: 226
Itération 353, nodeeco: 236
Itération 352, nodeeco: 231
Itération 351, nodeeco: 236
Itération 350, nodeeco: 222
Itération 349, nodeeco: 231
Itération 348, nodeeco: 228
Itération 347, nodeeco: 245
Itération 346, nodeeco: 228
Itération 345, nodeeco: 233
Itération 344, nodeeco: 239
Itération 343, nodeeco: 221
Itération 342, nodeeco: 228
Itération 341, nodeeco: 228
Itération 340, nodeeco: 223
Itération 339, nodeeco: 231
Itération 338, nodeeco: 229
Itération 337, nodeeco: 219
Itération 336, nodeeco: 236
Itération 335, nodeeco: 228
Itération 334, nodeeco: 216
Itération 333, nodeeco: 225
Itération 332, nodeeco: 217
Itération 331, nodeeco: 241
Itération 330, nodeeco: 226
Itération 329, nodeeco: 207
Itération 328, nodeeco: 204
Itération 327, nodeeco: 211
Itération 326, nodeeco: 236
Itération 325, nodeeco: 235
Itération 324, nodeeco: 209
Itération 323, nodeeco: 206
Itération 322, nodeeco: 218
Itération 321, nodeeco: 222
Itération 320, nodeeco: 219
Itération 319, nodeeco: 211
Itération 318, nodeeco: 200
Itération 317, nodeeco: 208
Itération 316, nodeeco: 222
Itération 315, nodeeco: 211
Itération 314, nodeeco: 217
Itération 313, nodeeco: 215
Itération 312, nodeeco: 214
Itération 311, nodeeco: 207
Itération 310, nodeeco: 214
Itération 309, nodeeco: 188
Itération 308, nodeeco: 210
Itération 307, nodeeco: 201
Itération 306, nodeeco: 218
Itération 305, nodeeco: 221
Itération 304, nodeeco: 197
Itération 303, nodeeco: 218
Itération 302, nodeeco: 200
Itération 301, nodeeco: 204
Itération 300, nodeeco: 212
Itération 299, nodeeco: 208
Itération 298, nodeeco: 205
Itération 297, nodeeco: 188
Itération 296, nodeeco: 196
Itération 295, nodeeco: 189
Itération 294, nodeeco: 193
Itération 293, nodeeco: 186
Itération 292, nodeeco: 202
Itération 291, nodeeco: 210
Itération 290, nodeeco: 206
Itération 289, nodeeco: 187
Itération 288, nodeeco: 187
Itération 287, nodeeco: 207
Itération 286, nodeeco: 193
Itération 285, nodeeco: 188
Itération 284, nodeeco: 187
Itération 283, nodeeco: 180
Itération 282, nodeeco: 188
Itération 281, nodeeco: 190
Itération 280, nodeeco: 193
Itération 279, nodeeco: 184
Itération 278, nodeeco: 186
Itération 277, nodeeco: 181
Itération 276, nodeeco: 179
Itération 275, nodeeco: 181
Itération 274, nodeeco: 184
Itération 273, nodeeco: 186
Itération 272, nodeeco: 192
Itération 271, nodeeco: 190
Itération 270, nodeeco: 184
Itération 269, nodeeco: 160
Itération 268, nodeeco: 185
Itération 267, nodeeco: 191
Itération 266, nodeeco: 171
Itération 265, nodeeco: 186
Itération 264, nodeeco: 169
Itération 263, nodeeco: 152
Itération 262, nodeeco: 175
Itération 261, nodeeco: 174
Itération 260, nodeeco: 175
Itération 259, nodeeco: 166
Itération 258, nodeeco: 166
Itération 257, nodeeco: 178
Itération 256, nodeeco: 192
Itération 255, nodeeco: 174
Itération 254, nodeeco: 151
Itération 253, nodeeco: 171
Itération 252, nodeeco: 161
Itération 251, nodeeco: 180
Itération 250, nodeeco: 156
