Itération 160, time: 0.000862s
Itération 159, time: 0.000844s
Itération 158, time: 0.000823s
Itération 157, time: 0.000841s
Itération 156, time: 0.000842s
Itération 155, time: 0.000896s
Itération 154, time: 0.000830s
Itération 153, time: 0.000862s
Itération 152, time: 0.000777s
Itération 151, time: 0.000777s
Itération 150, time: 0.000814s
Itération 149, time: 0.000746s
Itération 148, time: 0.000753s
Itération 147, time: 0.000729s
Itération 146, time: 0.000723s
Itération 145, time: 0.000778s
Itération 144, time: 0.000718s
Itération 143, time: 0.000740s
Itération 142, time: 0.000687s
Itération 141, time: 0.000757s
Itération 140, time: 0.000728s
Itération 139, time: 0.000713s
Itération 138, time: 0.000671s
Itération 137, time: 0.000645s
Itération 136, time: 0.000677s
Itération 135, time: 0.000678s
Itération 134, time: 0.000668s
Itération 133, time: 0.000665s
Itération 132, time: 0.000677s
Itération 131, time: 0.000666s
Itération 130, time: 0.000669s
Itération 129, time: 0.000564s
Itération 128, time: 0.000594s
Itération 127, time: 0.000516s
Itération 126, time: 0.000615s
Itération 125, time: 0.000656s
Itération 124, time: 0.000502s
Itération 123, time: 0.000540s
Itération 122, time: 0.000652s
Itération 121, time: 0.000632s
Itération 120, time: 0.000586s
Itération 119, time: 0.000652s
Itération 118, time: 0.000597s
Itération 117, time: 0.000476s
Itération 116, time: 0.000627s
Itération 115, time: 0.000512s
Itération 114, time: 0.000536s
Itération 113, time: 0.000521s
Itération 112, time: 0.000608s
Itération 111, time: 0.000545s
Itération 110, time: 0.000569s
Itération 109, time: 0.000574s
Itération 108, time: 0.000573s
Itération 107, time: 0.000510s
Itération 106, time: 0.000507s
Itération 105, time: 0.000399s
Itération 104, time: 0.000436s
Itération 103, time: 0.000469s
Itération 102, time: 0.000427s
Itération 101, time: 0.000420s
Itération 100, time: 0.000409s
Itération 99, time: 0.000453s
Itération 98, time: 0.000463s
Itération 97, time: 0.000449s
Itération 96, time: 0.000426s
Itération 95, time: 0.000380s
Itération 94, time: 0.000439s
Itération 93, time: 0.000386s
Itération 92, time: 0.000410s
Itération 91, time: 0.000397s
Itération 90, time: 0.000418s
Itération 89, time: 0.000385s
Itération 88, time: 0.000390s
Itération 87, time: 0.000328s
Itération 86, time: 0.000378s
Itération 85, time: 0.000374s
Itération 84, time: 0.000343s
Itération 83, time: 0.000393s
Itération 82, time: 0.000353s
Itération 81, time: 0.000299s
Itération 80, time: 0.000321s
Itération 79, time: 0.000253s
Itération 78, time: 0.000244s
Itération 77, time: 0.000279s
Itération 76, time: 0.000332s
Itération 75, time: 0.000273s
Itération 74, time: 0.000287s
Itération 73, time: 0.000265s
Itération 72, time: 0.000286s
Itération 71, time: 0.000285s
Itération 70, time: 0.000265s
Itération 69, time: 0.000253s
Itération 68, time: 0.000226s
Itération 67, time: 0.000209s
Itération 66, time: 0.000311s
Itération 65, time: 0.000292s
Itération 64, time: 0.000233s
Itération 63, time: 0.000204s
Itération 62, time: 0.000227s
Itération 61, time: 0.000280s
Itération 60, time: 0.000206s
Itération 59, time: 0.000237s
Itération 58, time: 0.000232s
Itération 57, time: 0.000223s
Itération 56, time: 0.000171s
Itération 55, time: 0.000248s
Itération 54, time: 0.000162s
Itération 53, time: 0.000145s
Itération 52, time: 0.000186s
Itération 51, time: 0.000162s
Itération 50, time: 0.000198s
Itération 49, time: 0.000186s
Itération 48, time: 0.000197s
Itération 47, time: 0.000184s
Itération 46, time: 0.000143s
Itération 45, time: 0.000183s
Itération 44, time: 0.000151s
Itération 43, time: 0.000120s
Itération 42, time: 0.000113s
Itération 41, time: 0.000127s
Itération 40, time: 0.000137s
Itération 39, time: 0.000138s
Itération 38, time: 0.000134s
Itération 37, time: 0.000139s
Itération 36, time: 0.000122s
Itération 35, time: 0.000091s
Itération 34, time: 0.000088s
Itération 33, time: 0.000101s
Itération 32, time: 0.000092s
Itération 31, time: 0.000073s
Itération 30, time: 0.000085s
Itération 29, time: 0.000088s
Itération 28, time: 0.000084s
Itération 27, time: 0.000077s
Itération 26, time: 0.000080s
Itération 25, time: 0.000081s
Itération 24, time: 0.000048s
Itération 23, time: 0.000058s
Itération 22, time: 0.000082s
Itération 21, time: 0.000055s
Itération 20, time: 0.000045s
Itération 19, time: 0.000027s
Itération 18, time: 0.000052s
Itération 17, time: 0.000025s
Itération 16, time: 0.000043s
Itération 15, time: 0.000053s
Itération 14, time: 0.000038s
Itération 13, time: 0.000032s
Itération 12, time: 0.000021s
Itération 11, time: 0.000021s
Itération 10, time: 0.000023s
Itération 9, time: 0.000018s
Itération 8, time: 0.000014s
Itération 7, time: 0.000013s
Itération 6, time: 0.000009s
Itération 5, time: 0.000004s
Itération 4, time: 0.000004s
Itération 3, time: 0.000002s
Itération 2, time: 0.000002s
Itération 1, time: 0.000002s
