Itération 297, nodeeco: 511
Itération 296, nodeeco: 511
Itération 295, nodeeco: 511
Itération 294, nodeeco: 511
Itération 293, nodeeco: 511
Itération 292, nodeeco: 511
Itération 291, nodeeco: 511
Itération 290, nodeeco: 511
Itération 289, nodeeco: 511
Itération 288, nodeeco: 511
Itération 287, nodeeco: 511
Itération 286, nodeeco: 511
Itération 285, nodeeco: 511
Itération 284, nodeeco: 511
Itération 283, nodeeco: 511
Itération 282, nodeeco: 511
Itération 281, nodeeco: 511
Itération 280, nodeeco: 511
Itération 279, nodeeco: 511
Itération 278, nodeeco: 511
Itération 277, nodeeco: 511
Itération 276, nodeeco: 511
Itération 275, nodeeco: 511
Itération 274, nodeeco: 511
Itération 273, nodeeco: 511
Itération 272, nodeeco: 511
Itération 271, nodeeco: 511
Itération 270, nodeeco: 511
Itération 269, nodeeco: 511
Itération 268, nodeeco: 511
Itération 267, nodeeco: 511
Itération 266, nodeeco: 511
Itération 265, nodeeco: 511
Itération 264, nodeeco: 511
Itération 263, nodeeco: 511
Itération 262, nodeeco: 511
Itération 261, nodeeco: 511
Itération 260, nodeeco: 511
Itération 259, nodeeco: 511
Itération 258, nodeeco: 255
Itération 257, nodeeco: 511
Itération 256, nodeeco: 255
Itération 255, nodeeco: 255
Itération 254, nodeeco: 255
Itération 253, nodeeco: 255
Itération 252, nodeeco: 255
Itération 251, nodeeco: 255
Itération 250, nodeeco: 255
Itération 249, nodeeco: 255
Itération 248, nodeeco: 255
Itération 247, nodeeco: 255
Itération 246, nodeeco: 255
Itération 245, nodeeco: 255
Itération 244, nodeeco: 255
Itération 243, nodeeco: 255
Itération 242, nodeeco: 255
Itération 241, nodeeco: 255
Itération 240, nodeeco: 255
Itération 239, nodeeco: 255
Itération 238, nodeeco: 255
Itération 237, nodeeco: 255
Itération 236, nodeeco: 255
Itération 235, nodeeco: 255
Itération 234, nodeeco: 255
Itération 233, nodeeco: 255
Itération 232, nodeeco: 255
Itération 231, nodeeco: 255
Itération 230, nodeeco: 255
Itération 229, nodeeco: 255
Itération 228, nodeeco: 255
Itération 227, nodeeco: 255
Itération 226, nodeeco: 255
Itération 225, nodeeco: 255
Itération 224, nodeeco: 255
Itération 223, nodeeco: 255
